id,original_text,text_final,ulasan_cleaned,decision,Label,confidence,suspicion_score
7676,barang sudah nyampai semoga aman.dan kurirnya ramah,barang sudah nyampai semoga aman.dan kurirnya ramah,,Real,Nan,1.0,0.0
2207,mantap bajunya bagus adep dipakai ukuran pas di badan jahitan rapi.,mantap bajunya bagus adep dipakai ukuran pas di badan jahitan rapi.,,Real,Nan,1.0,0.0
5044,"kulit kering berjerawat dikit,,, pakek serum in br semalam dah ngaruh top banget deh knp gak dari dulu ya 🙃","kulit kering berjerawat dikit,,, pakek serum in br semalam dah ngaruh top banget deh knp gak dari dulu ya 🙃",,Real,Nan,1.0,0.0
6922,bagus aman cuman mix nya belum nyalah aku coba mungkin batre nya habis,bagus aman cuman mix nya belum nyalah aku coba mungkin batre nya habis,,Real,Nan,1.0,0.0
6862,bagus barang nya suara bagus jernih udah beli 2×🤩 cuman kurir nya ya gak sopan tolongg ini mah🙏🏻,bagus barang nya suara bagus jernih udah beli 2×🤩 cuman kurir nya ya gak sopan tolongg ini mah🙏🏻,,Real,Nan,1.0,0.0
5945,barang nyampe sesuai dengan orderan... dipacking dengan sangat rapi dan aman .. terimakasih seller...terimakasih kurir,barang nyampe sesuai dengan orderan... dipacking dengan sangat rapi dan aman .. terimakasih seller...terimakasih kurir,,Real,Nan,1.0,0.0
5602,baru mau coba semoga emng cocok dan bagus di aku,baru mau coba semoga emng cocok dan bagus di aku,,Real,Nan,1.0,0.0
5908,"barang ori, ss paling murah tapi tidak murahan.","barang ori, ss paling murah tapi tidak murahan.",,Real,Nan,1.0,0.0
5242,"paket sampai sesuai orderan, packaging aman, kurir informatif, pengiriman cepat sampai tujuan. makasih","paket sampai sesuai orderan, packaging aman, kurir informatif, pengiriman cepat sampai tujuan. makasih",,Real,Nan,1.0,0.0
7025,"performa: berfungsi dengan bagus semua nya, mic nya dua” nya oke, speaker nya juga bisa di pairing ke hp, niat beli buat anak ku aja buat dia ngoceh” tapi aku pun senang...","performa: berfungsi dengan bagus semua nya, mic nya dua” nya oke, speaker nya juga bisa di pairing ke hp, niat beli buat anak ku aja buat dia ngoceh” tapi aku pun senang...",,Real,Nan,1.0,0.0
