id,original_text,rating,helpful,text,decision,confidence,suspicion_score,key_features,llm_contribution
1,barang pesanan datang sesuai jadwal barang pesanan datang tanpa minus barang pesanan datang sesuai pesanan barang pesanan sangat bagus dan berkualitas barang pesanan...,5,0,barang pesanan datang sesuai jadwal barang pesanan datang tanpa minus barang pesanan datang sesuai p...,Real,1.0,0.0,"{'contradiction': 0, 'template_language': 0, 'excessive_emotion': 0, 'gibberish_spam': 0, 'word_count': 23}",0.0
2,bahan: bagus manfaat produk: sangat baik jenis kulit: all skin,5,0,bahan: bagus manfaat produk: sangat baik jenis kulit: all skin,Real,1.0,0.0,"{'contradiction': 0, 'template_language': 0, 'excessive_emotion': 0, 'gibberish_spam': 0, 'word_count': 10}",0.0
3,bahan: bagus manfaat produk: mencerahkan jenis kulit: normal bismillahirohmanirohim semoga cocok dimuka aku yang pemula pakai scancare ini... pengiriman cepat dan rapih.....,5,1,bahan: bagus manfaat produk: mencerahkan jenis kulit: normal bismillahirohmanirohim semoga cocok dim...,Fake,0.95,9.21,"{'contradiction': 1, 'template_language': 0, 'excessive_emotion': 0, 'gibberish_spam': 1, 'word_count': 22}",0.403
4,bahan: sesuai pemesanan manfaat produk: mencerahkan kulit. semoga cocok dikulit. dan menghasilkan dengan memuaskan. jenis kulit: sawo,5,0,bahan: sesuai pemesanan manfaat produk: mencerahkan kulit. semoga cocok dikulit. dan menghasilkan de...,Fake,0.822,4.45,"{'contradiction': 1, 'template_language': 0, 'excessive_emotion': 0, 'gibberish_spam': 0, 'word_count': 17}",0.482
5,bahan: bagus sdah berlangganan manfaat produk: mencerahkan kulit&wajah jenis kulit: kuning langsat,5,0,bahan: bagus sdah berlangganan manfaat produk: mencerahkan kulit&wajah jenis kulit: kuning langsat,Real,1.0,0.0,"{'contradiction': 0, 'template_language': 0, 'excessive_emotion': 0, 'gibberish_spam': 0, 'word_count': 12}",0.0
6,"barang sampai dgn mulus, udah pakai ini 2mingguan wajah keliatan sedikit cerah. semoga cocok terus diaku, trmksh🤍",5,0,"barang sampai dgn mulus, udah pakai ini 2mingguan wajah keliatan sedikit cerah. semoga cocok terus d...",Fake,0.802,4.03,"{'contradiction': 1, 'template_language': 0, 'excessive_emotion': 0, 'gibberish_spam': 0, 'word_count': 17}",0.345
7,rekomendasi 🥰 packing ok.. bubble wrap tebal paket aman sampai ditujuan.. makasih seller 🙏,5,0,rekomendasi 🥰 packing ok.. bubble wrap tebal paket aman sampai ditujuan.. makasih seller 🙏,Real,1.0,0.0,"{'contradiction': 0, 'template_language': 0, 'excessive_emotion': 0, 'gibberish_spam': 0, 'word_count': 14}",0.0
8,mantap😍 bahan: lembut wangiiii banget manfaat produk: melembabkan sekaligus mencerahkan,5,0,mantap😍 bahan: lembut wangiiii banget manfaat produk: melembabkan sekaligus mencerahkan,Fake,0.909,6.19,"{'contradiction': 0, 'template_language': 0, 'excessive_emotion': 0, 'gibberish_spam': 1, 'word_count': 10}",0.396
9,"alhamdulilah paketnya sudah sampai produk sesuai pesanan, mudah""an cocok ya buat pemula.. amiiin.. 🤲 klo cocok dan hasilnya bagus insya allah bakalan beli lgi d toko...",5,0,"alhamdulilah paketnya sudah sampai produk sesuai pesanan, mudah""an cocok ya buat pemula.. amiiin.. 🤲...",Real,1.0,0.0,"{'contradiction': 0, 'template_language': 0, 'excessive_emotion': 0, 'gibberish_spam': 0, 'word_count': 26}",0.0
10,"jenis kulit: kusam berminyak packing rapih, bubble wrap nya tebel jadi barangnya aman gada yg pecah semua terkirim dengan baik, semoga cocok di kulit muka aku dan juga co...",5,0,"jenis kulit: kusam berminyak packing rapih, bubble wrap nya tebel jadi barangnya aman gada yg pecah ...",Fake,0.812,4.24,"{'contradiction': 1, 'template_language': 0, 'excessive_emotion': 0, 'gibberish_spam': 0, 'word_count': 29}",0.413
