id,original_text,text_final,ulasan_cleaned,decision,Label,confidence,suspicion_score
3,bahan: bagus manfaat produk: mencerahkan jenis kulit: normal bismillahirohmanirohim semoga cocok dimuka aku yang pemula pakai scancare ini... pengiriman cepat dan rapih.....,bahan: bagus manfaat produk: mencerahkan jenis kulit: normal bismillahirohmanirohim semoga cocok dimuka aku yang pemula pakai scancare ini... pengiriman cepat dan rapih.....,bahan: bagus manfaat produk: mencerahkan jenis kulit: normal bismillahirohmanirohim semoga cocok dimuka aku yang pemula pakai scancare ini... pengiriman cepat dan rapih.....,Fake,Real,0.95,9.21
4,bahan: sesuai pemesanan manfaat produk: mencerahkan kulit. semoga cocok dikulit. dan menghasilkan dengan memuaskan. jenis kulit: sawo,bahan: sesuai pemesanan manfaat produk: mencerahkan kulit. semoga cocok dikulit. dan menghasilkan dengan memuaskan. jenis kulit: sawo,bahan: sesuai pemesanan manfaat produk: mencerahkan kulit. semoga cocok dikulit. dan menghasilkan dengan memuaskan. jenis kulit: sawo,Fake,Real,0.822,4.45
6,"barang sampai dgn mulus, udah pakai ini 2mingguan wajah keliatan sedikit cerah. semoga cocok terus diaku, trmksh🤍","barang sampai dgn mulus, udah pakai ini 2mingguan wajah keliatan sedikit cerah. semoga cocok terus diaku, trmksh🤍",barang sampai dgn mulus,Fake,Real,0.802,4.03
8,mantap😍 bahan: lembut wangiiii banget manfaat produk: melembabkan sekaligus mencerahkan,mantap😍 bahan: lembut wangiiii banget manfaat produk: melembabkan sekaligus mencerahkan,mantap bahan: lembut wangiiii banget manfaat produk: melembabkan sekaligus mencerahkan,Fake,Real,0.909,6.19
10,"jenis kulit: kusam berminyak packing rapih, bubble wrap nya tebel jadi barangnya aman gada yg pecah semua terkirim dengan baik, semoga cocok di kulit muka aku dan juga co...","jenis kulit: kusam berminyak packing rapih, bubble wrap nya tebel jadi barangnya aman gada yg pecah semua terkirim dengan baik, semoga cocok di kulit muka aku dan juga co...",jenis kulit: kusam berminyak packing rapih,Fake,Real,0.812,4.24
12,"bagus, sampai dengan keadaan baik, pengiriman juga cepat, respon nya juga cepat. baru mau coba semoga ada perubahan","bagus, sampai dengan keadaan baik, pengiriman juga cepat, respon nya juga cepat. baru mau coba semoga ada perubahan",bagus,Real,Fake,1.0,0.0
15,"pengiriman cpt,,udh langganan belanja dsni","pengiriman cpt,,udh langganan belanja dsni",pengiriman cpt,Real,Fake,0.9,1.0
16,"pengiriman nya cepat, produk juga aman sampai ke lokasi, next belanja disini lagi","pengiriman nya cepat, produk juga aman sampai ke lokasi, next belanja disini lagi",pengiriman nya cepat,Real,Fake,1.0,0.0
19,"paket sdah saya terima,baru pertama memakai yaaa,semoga cocok di kulitku","paket sdah saya terima,baru pertama memakai yaaa,semoga cocok di kulitku",paket sdah saya terima,Fake,Real,0.798,3.95
25,"akhirnya paket mendarat dengan selamat🥰🥰. alhamdulillah muka aku cocok pake skincare g2g,ini udh kesekian kalinya aku pesen thank youuu🫶🫶🫶🫶🫶🫶🫶🫶🫶🫶🫶🫶","akhirnya paket mendarat dengan selamat🥰🥰. alhamdulillah muka aku cocok pake skincare g2g,ini udh kesekian kalinya aku pesen thank youuu🫶🫶🫶🫶🫶🫶🫶🫶🫶🫶🫶🫶",akhirnya paket mendarat dengan selamat. alhamdulillah muka aku cocok pake skincare g2g,Fake,Real,0.905,6.1
33,packing aman barang lengkap kualitas oke harga bersahabat semoga cocok di aku terimakasih seller,packing aman barang lengkap kualitas oke harga bersahabat semoga cocok di aku terimakasih seller,packing aman barang lengkap kualitas oke harga bersahabat semoga cocok di aku terimakasih seller,Fake,Real,0.903,6.07
36,"barangnya datang cepat, paketannya bagus dan rapih. baru pertama kali pesan mudah2an cocok di akunya, biar bisa di order lagi. kurirnya juga ramah.🥰","barangnya datang cepat, paketannya bagus dan rapih. baru pertama kali pesan mudah2an cocok di akunya, biar bisa di order lagi. kurirnya juga ramah.🥰",barangnya datang cepat,Real,Fake,1.0,0.0
41,"sesuai, terimakasih seller n kurir🙏🏻","sesuai, terimakasih seller n kurir🙏🏻",sesuai,Real,Fake,0.9,1.0
43,jenis kulit: kusam baru pertama kali pakai semoga cocok dikulitku,jenis kulit: kusam baru pertama kali pakai semoga cocok dikulitku,jenis kulit: kusam baru pertama kali pakai semoga cocok dikulitku,Fake,Real,0.805,4.11
48,"manfaat produk: mengerahkan, menutrisi kulit, ini orderan aku kedua kalinya, dan suka bgt sama produk nya 🥰","manfaat produk: mengerahkan, menutrisi kulit, ini orderan aku kedua kalinya, dan suka bgt sama produk nya 🥰",manfaat produk: mengerahkan,Real,Fake,1.0,0.0
50,"mantaaab,original,mudah²an cocok,biar bisa langganan terus.","mantaaab,original,mudah²an cocok,biar bisa langganan terus.",mantaaab,Real,Fake,0.9,1.0
57,barang sampai dengan kondisi baik semoga cocok,barang sampai dengan kondisi baik semoga cocok,barang sampai dengan kondisi baik semoga cocok,Fake,Real,0.81,4.2
64,"pesanan sampai, kalo soal bagus atau ngga nya, jelas ini bangus banget, aku mulai pakai produk g2g pas mereka pertama kali launching sampai sekarang, dan memang cocok di...","pesanan sampai, kalo soal bagus atau ngga nya, jelas ini bangus banget, aku mulai pakai produk g2g pas mereka pertama kali launching sampai sekarang, dan memang cocok di...",pesanan sampai,Real,Fake,1.0,0.0
75,pengiriman aman lancar dan ini pembelian paket kedua.semoga cocok seterusnya.,pengiriman aman lancar dan ini pembelian paket kedua.semoga cocok seterusnya.,pengiriman aman lancar dan ini pembelian paket kedua.semoga cocok seterusnya.,Fake,Real,0.806,4.12
76,manfaat produk: untuk mencerahkan bahan: bagus mantap jenis kulit: kering&flek hitam semogaaaa cocok dengan kulitku,manfaat produk: untuk mencerahkan bahan: bagus mantap jenis kulit: kering&flek hitam semogaaaa cocok dengan kulitku,manfaat produk: untuk mencerahkan bahan: bagus mantap jenis kulit: kering&flek hitam semogaaaa cocok dengan kulitku,Fake,Real,0.905,6.11
77,"jenis kulit: kering dan normal paket ku udh sampe, pengiriman cepat packing aman,semoga cocok di aku😊 terimakasih 🙏🏻","jenis kulit: kering dan normal paket ku udh sampe, pengiriman cepat packing aman,semoga cocok di aku😊 terimakasih 🙏🏻",jenis kulit: kering dan normal paket ku udh sampe,Fake,Real,0.814,4.28
78,mantap sesuai harapan,mantap sesuai harapan,mantap sesuai harapan,Real,Fake,0.9,1.0
83,pengiriman cepet produk nya bener² bagus semoga cocok terus di muka aku bakalan jadi langganan terus .nyerap di muka bikin cerah juga,pengiriman cepet produk nya bener² bagus semoga cocok terus di muka aku bakalan jadi langganan terus .nyerap di muka bikin cerah juga,pengiriman cepet produk nya benerÂ² bagus semoga cocok terus di muka aku bakalan jadi langganan terus .nyerap di muka bikin cerah juga,Fake,Real,0.786,3.73
90,"sesuai sam harga, cepat sampai, pecking ny rapi, ga ada yg produk yg rusak, thanks seller","sesuai sam harga, cepat sampai, pecking ny rapi, ga ada yg produk yg rusak, thanks seller",sesuai sam harga,Real,Fake,1.0,0.0
