Timestamp,Apakah kamu pernah menggunakan E-Commerce?,"Saat menggunakan e-commerce, kamu biasanya berperan sebagai…  ",Seberapa sering anda menggunakan aplikasi e-commerce,Menurutmu dari gambar berikut ini mana yang paling janggal (fraud)?,Mengapa anda memilih pertanyaan tersebut sebagai fraud (Fake Review),Seberapa yakin anda bahwa review ini adalah fraud (Fake Review),Menurutmu dari gambar berikut ini mana yang paling janggal (fraud)?,Mengapa anda memilih pertanyaan tersebut sebagai fraud (Fake Review),Seberapa yakin anda bahwa review ini adalah fraud (Fake Review),Menurutmu dari gambar berikut ini mana yang paling janggal (fraud)?,Mengapa anda memilih pertanyaan tersebut sebagai fraud (Fake Review),Seberapa yakin anda bahwa review ini adalah fraud (Fake Review),Menurutmu dari gambar berikut ini mana yang paling janggal (fraud)?,Mengapa anda memilih pertanyaan tersebut sebagai fraud (Fake Review),Seberapa yakin anda bahwa review ini adalah fraud (Fake Review),Menurutmu dari gambar berikut ini mana yang paling janggal (fraud)?,Mengapa anda memilih pertanyaan tersebut sebagai fraud (Fake Review),Seberapa yakin anda bahwa review ini adalah fraud (Fake Review)
11/15/2025 8:04:35,Ya,Pembeli,5,Kualitas produk baik produk original harganya bersahabat di kantong,karna nyebut original,3,"Bagus banget bahannya tebel, BENER"" BAGUS WOY AH ELAHHH 😭😭\nMAU NANGISSSS makasih seller berkah terus jualannya dan amanah teruS ya SYUKAAA BANGET TOLONGGG 😗😍",dua duanya gaje,3,Pengemasan dan pengiriman sangat cepat. Harga cukup terjangkau dan kebetulan lagi diskon 😂 Produk bagus dan Original. Packing super aman. Terbaiks pkoknya. Terimaksih banyak seller 🔥,gapapa si mau pilih aja,3,"Produk sangat bagus, jahitan rapi dan kuat, ukuran sesuai deskripsi sangat besar, pengemasan sangat aman, pengiriman sangat baik dan cepat, penjual fast respon, ramah dan amanah,, recomended banget,, 👍👍",gapapa,3,helm sampai dengan cepat dan kasih dong keamanan juga pada kardua nya biar tidak remuk tapi kualitas help terbaik makasih buat pengirim nya,gapapa,3
11/15/2025 15:07:38,Ya,Pembeli,4,Kualitas produk baik produk original harganya bersahabat di kantong,penggunaan kata terlalu kompleks ,3,"Alhamdulillah bantal penghangatnya udah sampai, lumayan cepat pengirimannya. Udah dicoba juga dan berfungsi dgn baik. Terimakasih seller sukses selalu",kata kata sering digunakan dalam berbagai review yg lain,3,Pengemasan dan pengiriman sangat cepat. Harga cukup terjangkau dan kebetulan lagi diskon 😂 Produk bagus dan Original. Packing super aman. Terbaiks pkoknya. Terimaksih banyak seller 🔥,kata kata nya sudah sering di gunakan di review review pada umumnya,3,"Produk sangat bagus, jahitan rapi dan kuat, ukuran sesuai deskripsi sangat besar, pengemasan sangat aman, pengiriman sangat baik dan cepat, penjual fast respon, ramah dan amanah,, recomended banget,, 👍👍",kata kata template ,3,helm sampai dengan cepat dan kasih dong keamanan juga pada kardua nya biar tidak remuk tapi kualitas help terbaik makasih buat pengirim nya,kata kata yang di gunakan selalu sama dengan fake review lainnya,3
11/15/2025 15:19:39,Ya,Pembeli,3,"Harganya lumayan lebih murah, pengiriman juga cepat banget baru order kemarin dan pagi ini udah tiba di rumah",karna baru pesan langsung sampe,4,"Bagus banget bahannya tebel, BENER"" BAGUS WOY AH ELAHHH 😭😭\nMAU NANGISSSS makasih seller berkah terus jualannya dan amanah teruS ya SYUKAAA BANGET TOLONGGG 😗😍",karna yg pertama lebih keliatan hiperbola ,5,Pengemasan dan pengiriman sangat cepat. Harga cukup terjangkau dan kebetulan lagi diskon 😂 Produk bagus dan Original. Packing super aman. Terbaiks pkoknya. Terimaksih banyak seller 🔥,karna yang atas terlalu rinci dan melebih lebihkan,4,Alhamdulillah bagus bangett tas nya ... finishing nya rapih .. warnanya juga cantik ... sesuai dengan picture dan harganya ga mahal 🤭,karna yg bawah lebih keliatan,4,"Terimakasih kak paketnya sudah diterima dalam keadaan baik sesuai dengan pesanan\nHelm nya sih lumayan untuk sekedar riding santai dan gaya,\nLangsung dipasangkan interkom e1\nJadi tambah gaya\nUntuk pengiriman nya juga lumayan cepat\nOh iya udah dapet free spoiler nya juga\n Makasih seller dan kurir",karna yg bawah terlihat mau meyakinkan org buat ngebeli barangnya gt,5
11/15/2025 15:33:34,Ya,Pembeli,5,Kualitas produk baik produk original harganya bersahabat di kantong,Karena memiliki review yang sedikit,3,"Bagus banget bahannya tebel, BENER"" BAGUS WOY AH ELAHHH 😭😭\nMAU NANGISSSS makasih seller berkah terus jualannya dan amanah teruS ya SYUKAAA BANGET TOLONGGG 😗😍","Terlalu bereksresif dan memakai banyak stiker, caps, dan huruf yang banyak",4,Pengemasan dan pengiriman sangat cepat. Harga cukup terjangkau dan kebetulan lagi diskon 😂 Produk bagus dan Original. Packing super aman. Terbaiks pkoknya. Terimaksih banyak seller 🔥,Terdapat stiker dan huruf kapitak tidak sesuai tempat,4,Alhamdulillah bagus bangett tas nya ... finishing nya rapih .. warnanya juga cantik ... sesuai dengan picture dan harganya ga mahal 🤭,memiliki cara ... yang terus menerut,3,helm sampai dengan cepat dan kasih dong keamanan juga pada kardua nya biar tidak remuk tapi kualitas help terbaik makasih buat pengirim nya,Kata yang datar,2
11/15/2025 15:42:36,Ya,Pembeli,4,"Harganya lumayan lebih murah, pengiriman juga cepat banget baru order kemarin dan pagi ini udah tiba di rumah",Memiliki gambar yang mirip,3,"Bagus banget bahannya tebel, BENER"" BAGUS WOY AH ELAHHH 😭😭\nMAU NANGISSSS makasih seller berkah terus jualannya dan amanah teruS ya SYUKAAA BANGET TOLONGGG 😗😍","Memiliki kata yang diulan gerus dan seperti dibuat""",4,Pengemasan dan pengiriman sangat cepat. Harga cukup terjangkau dan kebetulan lagi diskon 😂 Produk bagus dan Original. Packing super aman. Terbaiks pkoknya. Terimaksih banyak seller 🔥,"tanda titik yang terlalu banyak, tidak sesuai",3,"Produk sangat bagus, jahitan rapi dan kuat, ukuran sesuai deskripsi sangat besar, pengemasan sangat aman, pengiriman sangat baik dan cepat, penjual fast respon, ramah dan amanah,, recomended banget,, 👍👍",memiliki ulasan yang seperti dibuat,3,"Terimakasih kak paketnya sudah diterima dalam keadaan baik sesuai dengan pesanan\nHelm nya sih lumayan untuk sekedar riding santai dan gaya,\nLangsung dipasangkan interkom e1\nJadi tambah gaya\nUntuk pengiriman nya juga lumayan cepat\nOh iya udah dapet free spoiler nya juga\n Makasih seller dan kurir",memiliki ulasan yang sangat panjang,2
11/15/2025 15:49:41,Ya,Pembeli,4,Kualitas produk baik produk original harganya bersahabat di kantong,seperti menggunakan foto dari gambar 2,3,"Bagus banget bahannya tebel, BENER"" BAGUS WOY AH ELAHHH 😭😭\nMAU NANGISSSS makasih seller berkah terus jualannya dan amanah teruS ya SYUKAAA BANGET TOLONGGG 😗😍",Lebih janggal daripada gambar 1,1,Pengemasan dan pengiriman sangat cepat. Harga cukup terjangkau dan kebetulan lagi diskon 😂 Produk bagus dan Original. Packing super aman. Terbaiks pkoknya. Terimaksih banyak seller 🔥,"kata yang biasa saja, seperti bot",4,Alhamdulillah bagus bangett tas nya ... finishing nya rapih .. warnanya juga cantik ... sesuai dengan picture dan harganya ga mahal 🤭,lebih janggal dari gambar 1,2,helm sampai dengan cepat dan kasih dong keamanan juga pada kardua nya biar tidak remuk tapi kualitas help terbaik makasih buat pengirim nya,Ulasan terlalu baik yang membuat janggal,3
11/15/2025 16:10:06,Ya,Pembeli,4,"Harganya lumayan lebih murah, pengiriman juga cepat banget baru order kemarin dan pagi ini udah tiba di rumah","Karena “Baru order kemarin dan pagi ini udh tiba di rumah. Di platform e-commerce besar, same-day atau next-day bisa saja, tapi tergantung toko & kota. Klaim seperti ini sering muncul di review palsu karena seakan sengaja bikin kesan “wow cepat banget”.",4,"Bagus banget bahannya tebel, BENER"" BAGUS WOY AH ELAHHH 😭😭\nMAU NANGISSSS makasih seller berkah terus jualannya dan amanah teruS ya SYUKAAA BANGET TOLONGGG 😗😍",Gambar 2 yang paling mencurigakan. Gaya tulisannya terlalu dramatis dengan capslock dan emoji yang berlebihan sehingga terasa seperti review yang dibuat untuk mengangkat rating. Isi komentarnya tidak memberikan detail nyata tentang produk atau pengalaman penggunaan dan lebih condong ke pujian berlebihan.,4,Pengemasan dan pengiriman sangat cepat. Harga cukup terjangkau dan kebetulan lagi diskon 😂 Produk bagus dan Original. Packing super aman. Terbaiks pkoknya. Terimaksih banyak seller 🔥,"Gambar 1 yang terlihat lebih janggal. Tulisannya terlalu rapi dan terasa seperti promosi karena isinya penuh pujian yang mulus tanpa ada kekurangan atau detail penggunaan yang nyata. Struktur kalimatnya juga mirip template marketing, terutama bagian yang menekankan harga terjangkau, diskon, kualitas original, dan packing super aman. Foto-fotonya pun terlihat konsisten dan tersusun rapi seperti materi yang biasanya disiapkan untuk menaikkan kredibilitas toko. Sementara itu, Gambar 2 jauh lebih natural karena bahasannya sederhana, bahas masalah kaki bau, dan pakai bahasa sehari-hari yang lebih spontan serta tidak disusun terlalu rapi.",4,"Produk sangat bagus, jahitan rapi dan kuat, ukuran sesuai deskripsi sangat besar, pengemasan sangat aman, pengiriman sangat baik dan cepat, penjual fast respon, ramah dan amanah,, recomended banget,, 👍👍","Gambar 1 yang paling janggal. Tulisannya terlalu sempurna dan terasa seperti susunan promosi, mulai dari pujian beruntun tanpa jeda sampai daftar klaim yang semuanya positif. Polanya mirip review yang dibuat untuk ngangkat rating karena menekankan banyak aspek sekaligus seperti ukuran sesuai deskripsi, pengemasan aman, pengiriman cepat, penjual ramah, fast respon, dan direkomendasikan. Struktur kalimatnya panjang, mulus, dan tidak ada sentuhan personal yang biasanya muncul dari pengalaman nyata. Sementara itu, Gambar 2 lebih natural karena gaya bahasanya lebih santai, ada jeda, ada sedikit ekspresi personal, dan fokusnya tidak dibuat terlalu sempurna.",4,helm sampai dengan cepat dan kasih dong keamanan juga pada kardua nya biar tidak remuk tapi kualitas help terbaik makasih buat pengirim nya,"Gambar 1 yang paling janggal. Teksnya terlalu singkat tapi penuh klaim positif yang terasa dibuat-buat, dan kalimatnya tidak natural karena digabung terus tanpa jeda hingga maknanya kabur. Gaya bahasanya seperti orang yang buru-buru menulis review hanya untuk memenuhinya, bukan menceritakan pengalaman sebenarnya. Tidak ada detail yang masuk akal soal pemakaian atau kesan pribadi, hanya pujian generik. Bandingkan dengan Gambar 2 yang jauh lebih natural karena ceritanya runtut, ada konteks penggunaan, ada detail soal interkom dan spoiler, dan terasa seperti pengalaman nyata dari orang yang benar-benar memakai helmnya.",3
11/15/2025 16:45:03,Ya,Pembeli,5,"Harganya lumayan lebih murah, pengiriman juga cepat banget baru order kemarin dan pagi ini udah tiba di rumah","Tidak ada kejelasan bahwa barang adalah ori, lalu terlalu fake dlaam komentar karena tidak ada kurir yang mengantar sepagi itu",5,"Alhamdulillah bantal penghangatnya udah sampai, lumayan cepat pengirimannya. Udah dicoba juga dan berfungsi dgn baik. Terimakasih seller sukses selalu",Terlalu lengkap untuk bisa membuat comment.,4,Sdh sampe\nSemoga cocok\nTahan lama buay stok biar kaki g bau klo lg aktipitas\nMakasih kk,Bukan ori untuk yg page 2,5,Alhamdulillah bagus bangett tas nya ... finishing nya rapih .. warnanya juga cantik ... sesuai dengan picture dan harganya ga mahal 🤭,Karena terlalu template dalam menawarkan 'harga murah',5,"Terimakasih kak paketnya sudah diterima dalam keadaan baik sesuai dengan pesanan\nHelm nya sih lumayan untuk sekedar riding santai dan gaya,\nLangsung dipasangkan interkom e1\nJadi tambah gaya\nUntuk pengiriman nya juga lumayan cepat\nOh iya udah dapet free spoiler nya juga\n Makasih seller dan kurir",Too much comment as a buyer + terlalu memuji seller,3
11/16/2025 19:48:53,Ya,Pembeli,4,Kualitas produk baik produk original harganya bersahabat di kantong,Kurang natural & terlalu template,4,"Bagus banget bahannya tebel, BENER"" BAGUS WOY AH ELAHHH 😭😭\nMAU NANGISSSS makasih seller berkah terus jualannya dan amanah teruS ya SYUKAAA BANGET TOLONGGG 😗😍",Terlalu natural & dibuat-buat,4,Pengemasan dan pengiriman sangat cepat. Harga cukup terjangkau dan kebetulan lagi diskon 😂 Produk bagus dan Original. Packing super aman. Terbaiks pkoknya. Terimaksih banyak seller 🔥,Memakai emoji,3,"Produk sangat bagus, jahitan rapi dan kuat, ukuran sesuai deskripsi sangat besar, pengemasan sangat aman, pengiriman sangat baik dan cepat, penjual fast respon, ramah dan amanah,, recomended banget,, 👍👍",Terlalu dilebih-lebihkan,4,"Terimakasih kak paketnya sudah diterima dalam keadaan baik sesuai dengan pesanan\nHelm nya sih lumayan untuk sekedar riding santai dan gaya,\nLangsung dipasangkan interkom e1\nJadi tambah gaya\nUntuk pengiriman nya juga lumayan cepat\nOh iya udah dapet free spoiler nya juga\n Makasih seller dan kurir",juga dilebih-lebihkan,3
11/18/2025 10:59:18,Ya,Pembeli,4,Kualitas produk baik produk original harganya bersahabat di kantong,Terlihat fraud,4,"Alhamdulillah bantal penghangatnya udah sampai, lumayan cepat pengirimannya. Udah dicoba juga dan berfungsi dgn baik. Terimakasih seller sukses selalu",Kurang detail,4,Pengemasan dan pengiriman sangat cepat. Harga cukup terjangkau dan kebetulan lagi diskon 😂 Produk bagus dan Original. Packing super aman. Terbaiks pkoknya. Terimaksih banyak seller 🔥,Banyak soalnya,5,Alhamdulillah bagus bangett tas nya ... finishing nya rapih .. warnanya juga cantik ... sesuai dengan picture dan harganya ga mahal 🤭,Kurang detail,3,helm sampai dengan cepat dan kasih dong keamanan juga pada kardua nya biar tidak remuk tapi kualitas help terbaik makasih buat pengirim nya,Kurang yakin,2
