id,original_text,text_final,ulasan_cleaned,decision,Label,confidence,suspicion_score
1966,komplit tanpa kurang sama sekali ini,komplit tanpa kurang sama sekali ini,,Real,Nan,0.8,2.0
1972,semoga awet cma 1 aja kendalanya tolong pilih kurir yg cekatan bsa banget telat,semoga awet cma 1 aja kendalanya tolong pilih kurir yg cekatan bsa banget telat,,Fake,Nan,0.799,3.99
1998,lumayan bagus walau potongan nya kurang rapi,lumayan bagus walau potongan nya kurang rapi,,Real,Nan,0.8,2.0
2062,"cepat dan sesuai , semoga awet","cepat dan sesuai , semoga awet",,Fake,Nan,0.817,4.33
2083,barang tidak mengecewakan semua ok sesuai pesanan,barang tidak mengecewakan semua ok sesuai pesanan,,Real,Nan,0.8,2.0
2089,"respon sangat cepat, pengiriman pihak kurir sangat cepat, dan packaging kurang rapi, dus tetap agak penyok karena tipis walau pakai bubble warp. saran diberi dus tambahan...","respon sangat cepat, pengiriman pihak kurir sangat cepat, dan packaging kurang rapi, dus tetap agak penyok karena tipis walau pakai bubble warp. saran diberi dus tambahan...",,Real,Nan,0.8,2.0
2126,"kualitas produk baik, terutama pada bagian kerah leher. potongan bagus. nyaman digunakan. harga terjangkau. semoga lebih banyak promo","kualitas produk baik, terutama pada bagian kerah leher. potongan bagus. nyaman digunakan. harga terjangkau. semoga lebih banyak promo",,Fake,Nan,0.754,3.08
2158,"kemaren sudah beli yg warna oatmeal ukuran l, sekarang beli lagi lyg warna charcoal ukuran l juga ternyata yg ini agak kecil 1-2 cm jahitan ditangan nya kurang rapih juga...","kemaren sudah beli yg warna oatmeal ukuran l, sekarang beli lagi lyg warna charcoal ukuran l juga ternyata yg ini agak kecil 1-2 cm jahitan ditangan nya kurang rapih juga...",,Real,Nan,0.8,2.0
2186,"produk sesuai deskripsi. bahan halus, berat & nyaman dipakai. semoga awet. mantap","produk sesuai deskripsi. bahan halus, berat & nyaman dipakai. semoga awet. mantap",,Fake,Nan,0.809,4.17
2191,"agak kecewa sih,bahan tipis gak kaya yg overzize,trus ukuran m ny kek ukuran s,ukuran s ny kek ukuran xs muat tuk bocil umur 7 th,klau mau beli lagi hrus naikin 1/2 ukura...","agak kecewa sih,bahan tipis gak kaya yg overzize,trus ukuran m ny kek ukuran s,ukuran s ny kek ukuran xs muat tuk bocil umur 7 th,klau mau beli lagi hrus naikin 1/2 ukura...",,Real,Nan,0.8,2.0
2203,"product quality: bagus, dapat yg kurang rapi. ada bagian lengan (sobek jahitan) dan kerah spt difoto. untuk panjang kaos lebih pendek drpd yg sdh pesen sebelumnya padahal...","product quality: bagus, dapat yg kurang rapi. ada bagian lengan (sobek jahitan) dan kerah spt difoto. untuk panjang kaos lebih pendek drpd yg sdh pesen sebelumnya padahal...",,Real,Nan,0.8,2.0
